qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

init: starting sh
$ wrunner io_heavy.txt hints.txt
TRACE tick=102 pid=5 pri=0 slice=0
TRACE tick=102 pid=5 pri=0 slice=0
TRACE tick=102 pid=5 pri=0 slice=0
TRACE tick=103 pid=5 pri=0 slice=0
TRACE tick=103 pid=5 pri=0 slice=0
TRACE tick=103 pid=4 pri=0 slice=0
TRACE tick=103 pid=6 pri=0 slice=0
TRACE tick=104 pid=4 pri=0 slice=0
TRACE tick=104 pid=5 pri=0 slice=0
TRACE tick=104 pid=4 pri=0 slice=0
TRACE tick=104 pid=4 pri=0 slice=0
TRACE tick=104 pid=7 pri=0 slice=0
TRACE tick=104 pid=4 pri=0 slice=0
TRACE tick=105 pid=4 pri=0 slice=0
TRACE tick=105 pid=4 pri=0 slice=0
TRACE tick=105 pid=4 pri=0 slice=0
TRACE tick=105 pid=4 pri=0 slice=0
TRACE tick=105 pid=4 pri=0 slice=0
TRACE tick=105 pid=4 pri=0 slice=0
TRACE tick=106 pid=4 pri=0 slice=0
TRACE tick=106 pid=4 pri=0 slice=0
TRACE tick=106 pid=4 pri=0 slice=0
TRACE tick=106 pid=4 pri=0 slice=0
TRACE tick=106 pid=4 pri=0 slice=0
TRACE tick=107 pid=4 pri=0 slice=0
TRACE tick=107 pid=4 pri=0 slice=0
TRACE tick=107 pid=4 pri=0 slice=0
TRACE tick=107 pid=4 pri=0 slice=0
TRACE tick=107 pid=5 pri=0 slice=0
TRACE tick=108 pid=4 pri=0 slice=0
TRACE tick=108 pid=4 pri=0 slice=0
TRACE tick=108 pid=4 pri=0 slice=0
TRACE tick=108 pid=4 pri=0 slice=0
TRACE tick=108 pid=4 pri=0 slice=0
TRACE tick=109 pid=4 pri=0 slice=0
TRACE tick=109 pid=4 pri=0 slice=0
TRACE tick=109 pid=5 pri=0 slice=0
TRACE tick=110 pid=4 pri=0 slice=0
TRACE tick=110 pid=5 pri=0 slice=1
TRACE tick=111 pid=4 pri=0 slice=0
TRACE tick=111 pid=4 pri=0 slice=0
TRACE tick=111 pid=4 pri=0 slice=0
TRACE tick=112 pid=4 pri=0 slice=0
TRACE tick=112 pid=4 pri=0 slice=0
TRACE tick=112 pid=4 pri=0 slice=0
TRACE tick=112 pid=4 pri=0 slice=0
TRACE tick=112 pid=4 pri=0 slice=0
TRACE tick=113 pid=4 pri=0 slice=0
TRACE tick=113 pid=5 pri=0 slice=0
TRACE tick=113 pid=4 pri=0 slice=0
TRACE tick=113 pid=4 pri=0 slice=0
TRACE tick=113 pid=4 pri=0 slice=0
TRACE tick=114 pid=4 pri=0 slice=0
TRACE tick=114 pid=4 pri=0 slice=0
TRACE tick=114 pid=4 pri=0 slice=0
TRACE tick=114 pid=5 pri=0 slice=0
TRACE tick=114 pid=4 pri=0 slice=0
TRACE tick=114 pid=4 pri=0 slice=0
TRACE tick=115 pid=4 pri=0 slice=0
TRACE tick=115 pid=4 pri=0 slice=0
TRACE tick=115 pid=4 pri=0 slice=0
TRACE tick=115 pid=4 pri=0 slice=0
TRACE tick=116 pid=4 pri=0 slice=0
TRACE tick=116 pid=4 pri=0 slice=0
TRACE tick=116 pid=4 pri=0 slice=0
TRACE tick=116 pid=4 pri=0 slice=0
TRACE tick=116 pid=4 pri=0 slice=0
TRACE tick=117 pid=4 pri=0 slice=0
TRACE tick=117 pid=4 pri=0 slice=0
TRACE tick=117 pid=5 pri=0 slice=0
TRACE tick=117 pid=4 pri=0 slice=0
TRACE tick=117 pid=4 pri=0 slice=0
TRACE tick=117 pid=4 pri=0 slice=0
TRACE tick=118 pid=4 pri=0 slice=0
TRACE tick=118 pid=4 pri=0 slice=0
TRACE tick=118 pid=4 pri=0 slice=0
TRACE tick=119 pid=4 pri=0 slice=0
TRACE tick=119 pid=5 pri=0 slice=0
TRACE tick=119 pid=4 pri=0 slice=0
TRACE tick=119 pid=4 pri=0 slice=0
TRACE tick=119 pid=6 pri=0 slice=0
TRACE tick=119 pid=4 pri=0 slice=0
TRACE tick=120 pid=4 pri=0 slice=0
TRACE tick=120 pid=4 pri=0 slice=0
TRACE tick=120 pid=4 pri=0 slice=0
TRACE tick=120 pid=5 pri=0 slice=0
TRACE tick=120 pid=4 pri=0 slice=0
TRACE tick=120 pid=4 pri=0 slice=0
TRACE tick=121 pid=4 pri=0 slice=0
TRACE tick=121 pid=4 pri=0 slice=0
TRACE tick=121 pid=4 pri=0 slice=0
TRACE tick=121 pid=6 pri=0 slice=0
TRACE tick=121 pid=4 pri=0 slice=0
TRACE tick=121 pid=4 pri=0 slice=0
TRACE tick=122 pid=4 pri=0 slice=1
TRACE tick=122 pid=4 pri=0 slice=0
TRACE tick=122 pid=4 pri=0 slice=0
TRACE tick=122 pid=5 pri=0 slice=0
TRACE tick=122 pid=4 pri=0 slice=0
TRACE tick=122 pid=6 pri=0 slice=0
TRACE tick=123 pid=4 pri=0 slice=0
TRACE tick=123 pid=4 pri=0 slice=0
TRACE tick=123 pid=7 pri=0 slice=0
TRACE tick=123 pid=4 pri=0 slice=0
TRACE tick=123 pid=4 pri=0 slice=0
TRACE tick=123 pid=4 pri=0 slice=0
TRACE tick=123 pid=4 pri=0 slice=0
TRACE tick=124 pid=4 pri=0 slice=0
TRACE tick=124 pid=5 pri=0 slice=0
TRACE tick=124 pid=5 pri=0 slice=0
TRACE tick=124 pid=5 pri=0 slice=0
TRACE tick=124 pid=5 pri=0 slice=0
TRACE tick=125 pid=4 pri=0 slice=0
TRACE tick=125 pid=5 pri=0 slice=0
TRACE tick=125 pid=6 pri=0 slice=0
TRACE tick=125 pid=5 pri=0 slice=0
TRACE tick=125 pid=7 pri=0 slice=0
TRACE tick=125 pid=5 pri=0 slice=0
TRACE tick=125 pid=5 pri=0 slice=0
TRACE tick=126 pid=5 pri=0 slice=0
TRACE tick=126 pid=4 pri=0 slice=0
TRACE tick=126 pid=5 pri=0 slice=0
TRACE tick=126 pid=6 pri=0 slice=0
TRACE tick=126 pid=5 pri=0 slice=0
TRACE tick=126 pid=5 pri=0 slice=0
TRACE tick=126 pid=5 pri=0 slice=0
TRACE tick=127 pid=5 pri=0 slice=1
TRACE tick=127 pid=7 pri=0 slice=0
TRACE tick=127 pid=5 pri=0 slice=0
TRACE tick=128 pid=5 pri=0 slice=0
TRACE tick=128 pid=5 pri=0 slice=0
TRACE tick=128 pid=5 pri=0 slice=0
TRACE tick=128 pid=4 pri=0 slice=0
TRACE tick=128 pid=5 pri=0 slice=0
TRACE tick=129 pid=5 pri=0 slice=0
TRACE tick=129 pid=5 pri=0 slice=0
TRACE tick=129 pid=5 pri=0 slice=0
TRACE tick=129 pid=5 pri=0 slice=0
TRACE tick=129 pid=5 pri=0 slice=0
TRACE tick=129 pid=6 pri=0 slice=0
TRACE tick=130 pid=5 pri=0 slice=0
TRACE tick=130 pid=7 pri=0 slice=0
TRACE tick=130 pid=5 pri=0 slice=0
TRACE tick=130 pid=5 pri=0 slice=0
TRACE tick=130 pid=5 pri=0 slice=0
TRACE tick=130 pid=4 pri=0 slice=0
TRACE tick=131 pid=4 pri=0 slice=1
TRACE tick=131 pid=5 pri=0 slice=0
TRACE tick=131 pid=4 pri=0 slice=0
TRACE tick=131 pid=6 pri=0 slice=0
TRACE tick=131 pid=4 pri=0 slice=0
TRACE tick=131 pid=4 pri=0 slice=0
TRACE tick=132 pid=7 pri=0 slice=0
TRACE tick=132 pid=4 pri=0 slice=0
TRACE tick=132 pid=4 pri=0 slice=0
TRACE tick=132 pid=4 pri=0 slice=0
TRACE tick=132 pid=4 pri=0 slice=0
TRACE tick=132 pid=4 pri=0 slice=0
TRACE tick=132 pid=5 pri=0 slice=0
TRACE tick=133 pid=4 pri=0 slice=0
TRACE tick=133 pid=6 pri=0 slice=0
TRACE tick=133 pid=4 pri=0 slice=0
TRACE tick=133 pid=7 pri=0 slice=0
TRACE tick=133 pid=4 pri=0 slice=0
TRACE tick=133 pid=4 pri=0 slice=0
TRACE tick=133 pid=4 pri=0 slice=0
TRACE tick=134 pid=4 pri=0 slice=0
TRACE tick=134 pid=4 pri=0 slice=0
